ISIN,Cap,Bewertungstag,Emittent,Brief,Geld
DE000PZ476Q1,9300.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,93.0,92.99
DE000PZ476P3,9250.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,92.5,92.49
DE000PZ476N8,9200.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,92.0,91.99
DE000PZ476M0,9150.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,91.5,91.49
DE000PZ476L2,9750.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,97.5,97.49
DE000PZ476K4,9700.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,97.0,96.99
DE000PZ476J6,9650.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,96.5,96.49
DE000PZ476H0,9550.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,95.5,95.49
DE000PZ476G2,9450.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,94.5,94.49
DE000PZ476F4,9350.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,93.5,93.49
DE000PZ476E7,9300.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,93.0,92.99
DE000PZ476D9,9250.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,92.5,92.49
DE000PZ476C1,9150.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,91.5,91.49
DE000PZ476B3,9800.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,98.0,97.99
DE000PZ476A5,9750.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,97.5,97.49
DE000PZ47698,9500.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,94.96,94.95
DE000PZ47680,9450.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,94.47,94.46
DE000PZ47672,9400.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,93.98,93.97
DE000PZ47664,9350.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,93.49,93.48
DE000PZ47656,9300.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,93.0,92.99
DE000PZ47649,9250.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,92.5,92.49
DE000PZ47631,9200.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,92.0,91.99
DE000PZ47623,9150.0,2020-02-21,BNP Paribas Emissions- und Handelsges.,91.5,91.49
DE000PZ47615,9850.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,98.49,98.48
DE000PZ47607,9800.0,2020-01-17,BNP Paribas Emissions- und Handelsges.,98.0,97.99
DE000PZ475V3,9650.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,96.5,96.49
DE000PZ475Q3,9400.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,94.0,93.99
DE000PZ47599,9700.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,97.0,96.99
DE000PZ47581,9650.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,96.5,96.49
DE000PZ47573,9600.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,96.0,95.99
DE000PZ47565,9550.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,95.5,95.49
DE000PZ47557,9500.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,95.0,94.99
DE000PZ47540,9450.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,94.5,94.49
DE000PZ47532,9400.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,94.0,93.99
DE000PZ47524,9350.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,93.5,93.49
DE000PZ47516,9300.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,93.0,92.99
DE000PZ468A2,10000.0,2020-12-18,BNP Paribas Emissions- und Handelsges.,98.39,98.38
DE000PZ467Z1,13200.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,121.67,121.66
DE000PZ467Y4,13000.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,120.7,120.69
DE000PZ467X6,12800.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,119.64,119.63
DE000PZ467W8,12600.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,118.49,118.48
DE000PZ467V0,12500.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,117.9,117.89
DE000PZ467U2,12400.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,117.28,117.27
DE000PZ467T4,12200.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,116.0,115.99
DE000PZ467S6,12000.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,114.65,114.64
DE000PZ467R8,11800.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,113.25,113.24
DE000PZ467Q0,11600.0,2020-11-20,BNP Paribas Emissions- und Handelsges.,111.79,111.78
