ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,gesamtkosten_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,relative_gesamtkosten_1,gesamtkosten_2,relative_gesamtkosten_2
DE000MF8NTS6,"0,00","0,01","0,0506",16.10.2019,"5,06","0,0506",1,,,,
DE000MF8NTT4,"0,00","0,01","0,05033",16.10.2019,"5,03","0,05033",1,,,,
DE000MF8NTU2,"0,00","0,01","0,06519",16.10.2019,"6,52","0,06519",2,,,,
DE000MF8NTV0,"0,00","0,01","0,0649",16.10.2019,"6,49","0,0649",2,,,,
DE000MF8NTW8,"0,00","0,01","0,05008",16.10.2019,"5,01","0,05008",1,,,,
DE000MF8NTX6,"0,00","0,01","0,04982",16.10.2019,"4,98","0,04982",1,,,,
DE000MF8NTY4,"0,00","0,01","0,06462",16.10.2019,"6,46","0,06462",2,,,,
DE000MF8NTZ1,"0,00","0,01","0,06432",16.10.2019,"6,43","0,06432",2,,,,
DE000MF8NU00,"0,00","0,01","0,04957",16.10.2019,"4,96","0,04957",1,,,,
DE000MF8NU18,"0,00","0,01","0,06403",16.10.2019,"6,40","0,06403",2,,,,
DE000MF8NU26,"0,00","0,01","0,04932",16.10.2019,"4,93","0,04932",1,,,,
DE000MF8NU34,"0,00","0,01","0,04907",16.10.2019,"4,91","0,04907",1,,,,
DE000MF8NU42,"0,00","0,01","0,06376",16.10.2019,"6,38","0,06376",2,,,,
DE000MF8NU59,"0,00","0,01","0,06347",16.10.2019,"6,35","0,06347",2,,,,
DE000MF8NU67,"0,00","0,01","0,06321",16.10.2019,"6,32","0,06321",2,,,,
DE000MF8NU75,"0,00","0,01","0,06294",16.10.2019,"6,29","0,06294",2,,,,
DE000MF8NU83,"0,00","0,01","0,06267",16.10.2019,"6,27","0,06267",3,,,,
DE000MF8NU91,"0,00","0,01","0,06241",16.10.2019,"6,24","0,06241",3,,,,
DE000MF8NUA2,"0,00","0,01","0,06215",16.10.2019,"6,21","0,06215",3,,,,
DE000MF8NUB0,"0,00","0,01","0,0619",16.10.2019,"6,19","0,0619",3,,,,
DE000MF8NUC8,"0,00","0,01","0,06165",16.10.2019,"6,16","0,06165",3,,,,
DE000MF8NUD6,"0,00","0,01","0,0614",16.10.2019,"6,14","0,0614",3,,,,
DE000MF8NUE4,"0,00","0,01","0,06116",16.10.2019,"6,12","0,06116",3,,,,
DE000MF8NUF1,"0,00","0,01","0,05946",16.10.2019,"5,95","0,05946",3,,,,
DE000MF8NUG9,"0,00","0,01","0,06069",16.10.2019,"6,07","0,06069",3,,,,
DE000MF8NUH7,"0,00","0,01","0,06046",16.10.2019,"6,05","0,06046",3,,,,
DE000MF8NUJ3,"0,00","0,01","0,06023",16.10.2019,"6,02","0,06023",3,,,,
DE000MF8NUK1,"0,00","0,01","0,05857",16.10.2019,"5,86","0,05857",3,,,,
DE000MF8NUL9,"0,00","0,01","0,05979",16.10.2019,"5,98","0,05979",3,,,,
DE000MF8NUM7,"0,00","0,01","0,05958",16.10.2019,"5,96","0,05958",3,,,,
DE000MF8NUN5,"0,00","0,01","0,0241",16.10.2019,"2,41","0,0241",1,,,,
DE000MF8NUP0,"0,00","0,01","0,02396",16.10.2019,"2,40","0,02396",1,,,,
DE000MF8NUR6,"0,00","0,01","0,02382",16.10.2019,"2,38","0,02382",1,,,,
DE000MF8NUS4,"0,00","0,01","0,02367",16.10.2019,"2,37","0,02367",1,,,,
DE000MF8NUV8,"0,00","0,01","0,02353",16.10.2019,"2,35","0,02353",1,,,,
DE000MF8NUX4,"0,00","0,01","0,0234",16.10.2019,"2,34","0,0234",1,,,,
DE000MF8NUY2,"0,00","0,01","0,02326",16.10.2019,"2,33","0,02326",1,,,,
DE000MF8NV09,"0,00","0,01","0,02313",16.10.2019,"2,31","0,02313",1,,,,
DE000MF8NV25,"0,00","0,01","0,02299",16.10.2019,"2,30","0,02299",1,,,,
DE000MF8NV41,"0,00","0,01","0,02286",16.10.2019,"2,29","0,02286",1,,,,
DE000MF8NV66,"0,00","0,01","0,02273",16.10.2019,"2,27","0,02273",1,,,,
DE000MF8NV90,"0,00","0,01","0,0226",16.10.2019,"2,26","0,0226",1,,,,
DE000MF8NVB8,"0,00","0,01","0,02248",16.10.2019,"2,25","0,02248",1,,,,
DE000MF8NVD4,"0,00","0,01","0,02235",16.10.2019,"2,24","0,02235",1,,,,
DE000MF8NVF9,"0,00","0,01","0,02223",16.10.2019,"2,22","0,02223",1,,,,
DE000MF8NVG7,"0,00","0,01","0,0221",16.10.2019,"2,21","0,0221",1,,,,
DE000MF8NVJ1,"0,00","0,01","0,02198",16.10.2019,"2,20","0,02198",1,,,,
DE000MF8NVM5,"0,00","0,01","0,02186",16.10.2019,"2,19","0,02186",1,,,,
DE000MF8NVP8,"0,00","0,01","0,02174",16.10.2019,"2,17","0,02174",1,,,,
DE000MF8NVR4,"0,00","0,01","0,02163",16.10.2019,"2,16","0,02163",1,,,,
DE000MF8NVS2,"0,00","0,01","0,02151",16.10.2019,"2,15","0,02151",1,,,,
DE000MF8NVT0,"0,00","0,01","0,02139",16.10.2019,"2,14","0,02139",1,,,,
DE000MF8NVU8,"0,00","0,01","0,02128",16.10.2019,"2,13","0,02128",1,,,,
DE000MF8NVV6,"0,00","0,01","0,02117",16.10.2019,"2,12","0,02117",1,,,,
DE000MF8NVW4,"0,00","0,01","0,02106",16.10.2019,"2,11","0,02106",1,,,,
